"New Year's Day",1,1,
"Martin Luther King's Birthday",1,,"3,Mon"
"Groundhog Day",2,2,
"Lincoln's Birthday",2,12,
"Valentine's Day",2,14,
"President's Day",2,,"3,Mon"
"Daylight Saving Time begins",3,,"2,Sun"
"St. Patrick's Day",3,17,
"All Fool's Day",4,1,
"Earth Day",4,22,
"Arbor Day ",4,,"L,Fri"
"Mother's Day",5,,"2,Sun"
"Armed Forces Day",5,,"3,Sat"
"Memorial Day",5,,"L,Mon"
"Flag Day",6,14,
"Father's Day",6,,"3,Sun"
"Independence Day",7,4,
"Labor Day",9,,"1,Mon"
"Citizenship Day",9,17,
"Columbus Day",10,,"2,Mon"
"Halloween",10,31,
"Daylight Saving Time ends",11,,"1,Sun"
"Veterans Day",11,11,
"Thanksgiving Day",11,,"4,Thu"
"Bill of Rights Day ",12,15,
"Christmas Day",12,25,
"New Year's Eve",12,31,

